#,Kanji,Strokes,Meaning,On'yomi,Kun'yomi,Vi,ViMeaning
1,一,1,one,"ichi, itsu",hito-tsu,"nhất","một"
2,二,2,two,"ni, ji",futa-tsu,"nhị","một"
3,三,3,three,san,mit-tsu,"tam","một"
4,四,5,four,shi,"yot-tsu, yon","tứ","bốn"
5,五,4,five,go,itsu-tsu,"ngũ","năm"
6,六,4,six,roku,mut-tsu,"lục","sáu"
7,七,2,seven,shichi,"nana-tsu, nana","thất","bảy"
8,八,2,eight,hachi,yat-tsu,"bát","tám"
9,九,2,nine,"ku, kyū",kokono-tsu,"cửu","chín"
10,十,2,ten,jū,tō,"thập","mười"
11,百,6,hundred,hyaku,momo,"bách","một trăm"
12,千,3,thousand,sen,chi,"thiên","một nghìn"
13,上,3,"top, above",jō,ue,"thượng","ở trên"
14,下,3,"bottom, below","ka, ge","shita, shimo, moto","hạ","ở dưới"
15,左,5,left,sa,hidari,"tả","bên trái"
16,右,5,right,"u, yū",migi,"hữu","bên phải"
17,中,4,"inside, middle","chū, jū",naka,"trung","bên trong, ở giữa"
18,大,3,large,"dai, tai","ō-kii, ō","đại","to, lớn"
19,小,3,small,shō,"chii-sai, ko, o","tiểu","nhỏ, bé"
20,月,4,"month, moon","gatsu, getsu",tsuki,"nguyệt","tháng, mặt trăng"
21,日,4,"day, sun","nichi, jitsu","hi, ka","nhật","ngày, mặt trời"
22,年,6,year,nen,toshi,"niên","năm"
23,早,6,early,"sō, sa",haya-i,"tảo","sớm"
24,木,4,tree,"moku, boku",ki,"mộc","cây"
25,林,8,woods,rin,hayashi,"lâm","rừng"
26,山,3,mountain,san,yama,"sơn","núi"
27,川,3,river,sen,kawa,"xuyên","sông"
28,土,3,soil,"to, do",tsuchi,"thổ","đất"
29,空,8,sky,kū,"sora, a-ku, kara","không","bầu trời"
30,田,5,rice field,den,"da, ta","điền","ruộng"
31,天,4,"heaven, sky",ten,"ame, ama","thiên","thiên đàng, bầu trời"
32,生,5,"living, birth, raw","sei, shō","i-kiru, u-mu, nama","sinh","sống, sinh, tươi"
33,花,7,flower,ka,hana,"hoa","hoa"
34,草,9,grass,sō,kusa,"thảo","cỏ"
35,虫,6,insect,chū,mushi,"trùng","côn trùng"
36,犬,4,dog,ken,inu,"khuyển","chó"
37,人,2,person,"jin, nin",hito,"nhân","người"
38,名,6,name,"mei, myō",na,"danh","tên"
39,女,3,female,"jo, nyo",on'na,"nữ","nữ giới"
40,男,7,male,"dan, nan",otoko,"nam","nam giới"
41,子,3,child,"shi, su",ko,"tử","con"
42,目,5,eye,moku,me,"mục","mắt"
43,耳,6,ear,"ji, ni",mimi,"nhĩ","tai"
44,口,3,mouth,kō,kuchi,"khẩu","miệng"
45,手,4,hand,shu,te,"thủ","tay"
46,足,7,"foot, suffice",soku,"ashi, ta-riru","túc","chân, đủ"
47,見,7,see,"ken, gen",mi-ru,"kiến","nhìn thấy"
48,音,9,sound,on,"ne, oto","âm","tiếng động"
49,力,2,power,"riki, ryoku",chikara,"lực","sức"
50,気,6,"spirit, air","ki, ke",iki,"khí","không khí, nguyên khí"
51,円,4,"yen, circle",en,maru,"viên","đồng Yên Nhật, hình tròn"
52,入,2,enter,nyū,"hai-ru, i-ru","nhập","vào"
53,出,5,exit,shutsu,de-ru,"xuất","ra"
54,立,5,stand up,ritsu,ta-tsu,"lập","đứng"
55,休,6,rest,kyū,yasu-mu,"hưu","nghỉ"
56,先,6,previous,sen,saki,"tiên","xảy ra trước"
57,夕,3,evening,seki,yū,"tịch","tối"
58,本,5,book,hon,moto,"bản, bổn","sách, gốc"
59,文,4,text,"bun, mon",fumi,"văn","văn bản, văn học"
60,字,6,character,ji,aza,"tự","chữ"
61,学,8,study,gaku,mana-bu,"học","học"
62,校,10,school,kō,kase,"hiệu","trường"
63,村,7,village,son,mura,"thôn","thôn làng"
64,町,7,town,chō,machi,"đinh","thị trấn, thành phố"
65,森,12,forest,shin,mori,"lâm","rừng rậm"
66,正,5,correct,"sei, shō","tada-shii, masa","chính","đúng, lẽ phải"
67,水,4,water,sui,mizu,"thủy","nước"
68,火,4,fire,ka,hi,"hỏa","lửa"
69,玉,5,"jewel, ball",gyoku,tama,"ngọc","ngọc"
70,王,4,king,ō,kimi,"vương","vua"
71,石,5,stone,"seki, koku",ishi,"thạch","đá"
72,竹,6,bamboo,chiku,take,"trúc","tre, trúc"
73,糸,6,thread,shi,ito,"ty, tơ","tơ, sợi"
74,貝,7,shellfish,bai,kai,"bối","vỏ sò, hến..."
75,車,7,vehicle,sha,kuruma,"xa","xe"
76,金,8,"gold, money",kin,"kane, kana","kim","vàng, tiền"
77,雨,8,rain,u,"ame, ama","vũ","mưa"
78,赤,7,red,seki,aka,"xích","đỏ"
79,青,8,blue,"sei, shō",ao,"thanh","xanh"
80,白,5,white,haku,"shiro, shira","bạch","trắng"
